x,y,w
0.0,0.0,0.0
0.05,0.0,0.0
0.1,0.0,0.0
0.153,0.0,0.0
0.204,0.0,0.0
0.257,0.0,0.0
0.31,0.0,0.0
0.364,0.0,0.0
0.419,0.0,0.0
0.474,0.0,0.0
0.524,0.0,0.0
0.578,0.0,0.0
0.628,0.0,0.0
0.678,0.0,0.0
0.733,0.0,0.0
0.783,0.0,0.0
0.838,0.0,0.0
0.888,0.0,0.0
0.943,0.0,0.0
0.993,0.0,0.0
1.048,0.0,0.0
1.098,0.0,0.0
1.153,0.0,0.0
1.203,0.0,0.0
1.258,0.0,0.0
1.308,0.0,0.0
1.358,0.0,0.0
1.413,0.0,0.0
1.463,0.0,0.0
1.518,-0.0,-0.009
1.568,-0.002,-0.053
1.618,-0.005,-0.101
1.668,-0.012,-0.148
1.722,-0.021,-0.173
1.776,-0.029,-0.139
1.826,-0.035,-0.091
1.876,-0.039,-0.044
1.926,-0.04,-0.019
1.976,-0.041,-0.044
2.026,-0.045,-0.091
2.08,-0.051,-0.143
2.13,-0.059,-0.189
2.179,-0.069,-0.199
2.228,-0.079,-0.184
2.282,-0.089,-0.184
2.336,-0.099,-0.184
2.39,-0.109,-0.184
2.444,-0.119,-0.184
2.498,-0.129,-0.184
2.552,-0.139,-0.159
2.602,-0.145,-0.126
2.656,-0.152,-0.125
2.706,-0.159,-0.125
2.756,-0.165,-0.125
2.81,-0.171,-0.109
2.86,-0.176,-0.077
2.91,-0.18,-0.076
2.96,-0.183,-0.076
3.01,-0.187,-0.076
3.064,-0.191,-0.076
3.114,-0.195,-0.076
3.164,-0.199,-0.072
3.214,-0.202,-0.033
3.264,-0.203,-0.017
3.314,-0.204,-0.017
3.369,-0.204,-0.017
3.419,-0.205,-0.017
3.469,-0.206,-0.011
3.519,-0.206,0.021
3.569,-0.205,0.023
3.619,-0.204,0.023
3.669,-0.202,0.023
3.719,-0.201,0.023
3.769,-0.2,0.023
3.819,-0.199,0.023
3.869,-0.198,0.023
3.919,-0.197,0.023
3.969,-0.196,0.023
4.019,-0.194,0.021
4.074,-0.194,-0.02
4.124,-0.196,-0.036
4.174,-0.198,-0.036
4.224,-0.199,-0.027
4.274,-0.2,0.017
4.324,-0.198,0.065
4.378,-0.193,0.117
4.428,-0.186,0.146
4.482,-0.178,0.146
4.532,-0.17,0.146
4.586,-0.162,0.146
4.636,-0.155,0.146
4.69,-0.147,0.146
4.74,-0.14,0.122
4.794,-0.134,0.097
4.844,-0.13,0.097
4.894,-0.125,0.097
4.944,-0.12,0.097
